#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                  mt19937-1G.bin|  4.03e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.49104565|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.50834433|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.30083053|  PASSED  
# The file file_input_raw was rewound 1 times
    diehard_rank_6x8|   0|    100000|     100|0.58923565|  PASSED  
# The file file_input_raw was rewound 1 times
   diehard_bitstream|   0|   2097152|     100|0.44587459|  PASSED  
# The file file_input_raw was rewound 2 times
        diehard_opso|   0|   2097152|     100|0.03945799|  PASSED  
# The file file_input_raw was rewound 2 times
        diehard_oqso|   0|   2097152|     100|0.04356122|  PASSED  
# The file file_input_raw was rewound 2 times
         diehard_dna|   0|   2097152|     100|0.31807780|  PASSED  
# The file file_input_raw was rewound 2 times
diehard_count_1s_str|   0|    256000|     100|0.90077106|  PASSED  
# The file file_input_raw was rewound 3 times
diehard_count_1s_byt|   0|    256000|     100|0.56495816|  PASSED  
# The file file_input_raw was rewound 3 times
 diehard_parking_lot|   0|     12000|     100|0.06939886|  PASSED  
# The file file_input_raw was rewound 3 times
    diehard_2dsphere|   2|      8000|     100|0.85595287|  PASSED  
# The file file_input_raw was rewound 3 times
    diehard_3dsphere|   3|      4000|     100|0.90324395|  PASSED  
# The file file_input_raw was rewound 4 times
     diehard_squeeze|   0|    100000|     100|0.86948582|  PASSED  
# The file file_input_raw was rewound 4 times
        diehard_sums|   0|       100|     100|0.98476461|  PASSED  
# The file file_input_raw was rewound 4 times
        diehard_runs|   0|    100000|     100|0.23988561|  PASSED  
        diehard_runs|   0|    100000|     100|0.26982832|  PASSED  
# The file file_input_raw was rewound 5 times
       diehard_craps|   0|    200000|     100|0.91336600|  PASSED  
       diehard_craps|   0|    200000|     100|0.08591065|  PASSED  
# The file file_input_raw was rewound 13 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00228088|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000074|  FAILED  
# The file file_input_raw was rewound 13 times
         sts_monobit|   1|    100000|     100|0.95498951|  PASSED  
# The file file_input_raw was rewound 13 times
            sts_runs|   2|    100000|     100|0.94434064|  PASSED  
# The file file_input_raw was rewound 13 times
          sts_serial|   1|    100000|     100|0.33602751|  PASSED  
          sts_serial|   2|    100000|     100|0.92186247|  PASSED  
          sts_serial|   3|    100000|     100|0.46025325|  PASSED  
          sts_serial|   3|    100000|     100|0.52452988|  PASSED  
          sts_serial|   4|    100000|     100|0.99999860|   WEAK   
          sts_serial|   4|    100000|     100|0.47409223|  PASSED  
          sts_serial|   5|    100000|     100|0.28496479|  PASSED  
          sts_serial|   5|    100000|     100|0.61705117|  PASSED  
          sts_serial|   6|    100000|     100|0.07842427|  PASSED  
          sts_serial|   6|    100000|     100|0.11933541|  PASSED  
          sts_serial|   7|    100000|     100|0.01445777|  PASSED  
          sts_serial|   7|    100000|     100|0.49080917|  PASSED  
          sts_serial|   8|    100000|     100|0.01539935|  PASSED  
          sts_serial|   8|    100000|     100|0.73804766|  PASSED  
          sts_serial|   9|    100000|     100|0.04227407|  PASSED  
          sts_serial|   9|    100000|     100|0.46112868|  PASSED  
          sts_serial|  10|    100000|     100|0.47634212|  PASSED  
          sts_serial|  10|    100000|     100|0.14019039|  PASSED  
          sts_serial|  11|    100000|     100|0.99380195|  PASSED  
          sts_serial|  11|    100000|     100|0.45642776|  PASSED  
          sts_serial|  12|    100000|     100|0.57205936|  PASSED  
          sts_serial|  12|    100000|     100|0.12028352|  PASSED  
          sts_serial|  13|    100000|     100|0.15560124|  PASSED  
          sts_serial|  13|    100000|     100|0.30640722|  PASSED  
          sts_serial|  14|    100000|     100|0.30777998|  PASSED  
          sts_serial|  14|    100000|     100|0.23198711|  PASSED  
          sts_serial|  15|    100000|     100|0.13053106|  PASSED  
          sts_serial|  15|    100000|     100|0.10173814|  PASSED  
          sts_serial|  16|    100000|     100|0.98939783|  PASSED  
          sts_serial|  16|    100000|     100|0.81744465|  PASSED  
# The file file_input_raw was rewound 13 times
         rgb_bitdist|   1|    100000|     100|0.69005659|  PASSED  
# The file file_input_raw was rewound 13 times
         rgb_bitdist|   2|    100000|     100|0.67830593|  PASSED  
# The file file_input_raw was rewound 13 times
         rgb_bitdist|   3|    100000|     100|0.57703905|  PASSED  
# The file file_input_raw was rewound 13 times
         rgb_bitdist|   4|    100000|     100|0.44961626|  PASSED  
# The file file_input_raw was rewound 14 times
         rgb_bitdist|   5|    100000|     100|0.49811640|  PASSED  
# The file file_input_raw was rewound 14 times
         rgb_bitdist|   6|    100000|     100|0.32317723|  PASSED  
# The file file_input_raw was rewound 15 times
         rgb_bitdist|   7|    100000|     100|0.25205234|  PASSED  
# The file file_input_raw was rewound 16 times
         rgb_bitdist|   8|    100000|     100|0.13104677|  PASSED  
# The file file_input_raw was rewound 16 times
         rgb_bitdist|   9|    100000|     100|0.89512615|  PASSED  
# The file file_input_raw was rewound 17 times
         rgb_bitdist|  10|    100000|     100|0.04464100|  PASSED  
# The file file_input_raw was rewound 18 times
         rgb_bitdist|  11|    100000|     100|0.06173754|  PASSED  
# The file file_input_raw was rewound 19 times
         rgb_bitdist|  12|    100000|     100|0.98309345|  PASSED  
# The file file_input_raw was rewound 19 times
rgb_minimum_distance|   2|     10000|    1000|0.12898625|  PASSED  
# The file file_input_raw was rewound 19 times
rgb_minimum_distance|   3|     10000|    1000|0.01629132|  PASSED  
# The file file_input_raw was rewound 19 times
rgb_minimum_distance|   4|     10000|    1000|0.18915320|  PASSED  
