#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                 rnd-openssl.bin|  4.61e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.89558577|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.11223024|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.79587858|  PASSED  
# The file file_input_raw was rewound 1 times
    diehard_rank_6x8|   0|    100000|     100|0.41121777|  PASSED  
# The file file_input_raw was rewound 1 times
   diehard_bitstream|   0|   2097152|     100|0.30890135|  PASSED  
# The file file_input_raw was rewound 2 times
        diehard_opso|   0|   2097152|     100|0.26648057|  PASSED  
# The file file_input_raw was rewound 2 times
        diehard_oqso|   0|   2097152|     100|0.57923765|  PASSED  
# The file file_input_raw was rewound 2 times
         diehard_dna|   0|   2097152|     100|0.67952375|  PASSED  
# The file file_input_raw was rewound 2 times
diehard_count_1s_str|   0|    256000|     100|0.57824064|  PASSED  
# The file file_input_raw was rewound 3 times
diehard_count_1s_byt|   0|    256000|     100|0.32657469|  PASSED  
# The file file_input_raw was rewound 3 times
 diehard_parking_lot|   0|     12000|     100|0.40756286|  PASSED  
# The file file_input_raw was rewound 3 times
    diehard_2dsphere|   2|      8000|     100|0.61130187|  PASSED  
# The file file_input_raw was rewound 3 times
    diehard_3dsphere|   3|      4000|     100|0.61036177|  PASSED  
# The file file_input_raw was rewound 4 times
     diehard_squeeze|   0|    100000|     100|0.89505200|  PASSED  
# The file file_input_raw was rewound 4 times
        diehard_sums|   0|       100|     100|0.65794440|  PASSED  
# The file file_input_raw was rewound 4 times
        diehard_runs|   0|    100000|     100|0.26531780|  PASSED  
        diehard_runs|   0|    100000|     100|0.43747354|  PASSED  
# The file file_input_raw was rewound 5 times
       diehard_craps|   0|    200000|     100|0.10332183|  PASSED  
       diehard_craps|   0|    200000|     100|0.20588065|  PASSED  
# The file file_input_raw was rewound 13 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.04252401|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00027723|   WEAK   
# The file file_input_raw was rewound 13 times
         sts_monobit|   1|    100000|     100|0.90105539|  PASSED  
# The file file_input_raw was rewound 13 times
            sts_runs|   2|    100000|     100|0.84915900|  PASSED  
# The file file_input_raw was rewound 13 times
          sts_serial|   1|    100000|     100|0.04182434|  PASSED  
          sts_serial|   2|    100000|     100|0.64283229|  PASSED  
          sts_serial|   3|    100000|     100|0.01461367|  PASSED  
          sts_serial|   3|    100000|     100|0.12936300|  PASSED  
          sts_serial|   4|    100000|     100|0.12402618|  PASSED  
          sts_serial|   4|    100000|     100|0.83575156|  PASSED  
          sts_serial|   5|    100000|     100|0.09423216|  PASSED  
          sts_serial|   5|    100000|     100|0.91150484|  PASSED  
          sts_serial|   6|    100000|     100|0.01510174|  PASSED  
          sts_serial|   6|    100000|     100|0.42853199|  PASSED  
          sts_serial|   7|    100000|     100|0.02227117|  PASSED  
          sts_serial|   7|    100000|     100|0.86944906|  PASSED  
          sts_serial|   8|    100000|     100|0.75844298|  PASSED  
          sts_serial|   8|    100000|     100|0.41320051|  PASSED  
          sts_serial|   9|    100000|     100|0.62239787|  PASSED  
          sts_serial|   9|    100000|     100|0.95451387|  PASSED  
          sts_serial|  10|    100000|     100|0.39954264|  PASSED  
          sts_serial|  10|    100000|     100|0.05624418|  PASSED  
          sts_serial|  11|    100000|     100|0.29804860|  PASSED  
          sts_serial|  11|    100000|     100|0.75059992|  PASSED  
          sts_serial|  12|    100000|     100|0.83083474|  PASSED  
          sts_serial|  12|    100000|     100|0.69050164|  PASSED  
          sts_serial|  13|    100000|     100|0.12514875|  PASSED  
          sts_serial|  13|    100000|     100|0.02546517|  PASSED  
          sts_serial|  14|    100000|     100|0.58272666|  PASSED  
          sts_serial|  14|    100000|     100|0.78001394|  PASSED  
          sts_serial|  15|    100000|     100|0.06745994|  PASSED  
          sts_serial|  15|    100000|     100|0.13899885|  PASSED  
          sts_serial|  16|    100000|     100|0.83623592|  PASSED  
          sts_serial|  16|    100000|     100|0.40804484|  PASSED  
# The file file_input_raw was rewound 13 times
         rgb_bitdist|   1|    100000|     100|0.77999163|  PASSED  
# The file file_input_raw was rewound 13 times
         rgb_bitdist|   2|    100000|     100|0.24096282|  PASSED  
# The file file_input_raw was rewound 13 times
         rgb_bitdist|   3|    100000|     100|0.22260718|  PASSED  
# The file file_input_raw was rewound 13 times
         rgb_bitdist|   4|    100000|     100|0.52210047|  PASSED  
# The file file_input_raw was rewound 14 times
         rgb_bitdist|   5|    100000|     100|0.93089996|  PASSED  
# The file file_input_raw was rewound 14 times
         rgb_bitdist|   6|    100000|     100|0.97252625|  PASSED  
# The file file_input_raw was rewound 15 times
         rgb_bitdist|   7|    100000|     100|0.87128845|  PASSED  
# The file file_input_raw was rewound 16 times
         rgb_bitdist|   8|    100000|     100|0.98115792|  PASSED  
# The file file_input_raw was rewound 16 times
         rgb_bitdist|   9|    100000|     100|0.03545959|  PASSED  
# The file file_input_raw was rewound 17 times
         rgb_bitdist|  10|    100000|     100|0.41377643|  PASSED  
# The file file_input_raw was rewound 18 times
         rgb_bitdist|  11|    100000|     100|0.93620472|  PASSED  
# The file file_input_raw was rewound 19 times
         rgb_bitdist|  12|    100000|     100|0.85169936|  PASSED  
# The file file_input_raw was rewound 19 times
