#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                  secrets-1G.bin|  4.61e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.41292225|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.14784235|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.79741430|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.18126284|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.06756659|  PASSED  
        diehard_opso|   0|   2097152|     100|0.49008650|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.31706367|  PASSED  
         diehard_dna|   0|   2097152|     100|0.06520079|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.18348447|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.02339574|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.44976967|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.91676764|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.89333758|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.89327998|  PASSED  
        diehard_sums|   0|       100|     100|0.49546862|  PASSED  
        diehard_runs|   0|    100000|     100|0.13712916|  PASSED  
        diehard_runs|   0|    100000|     100|0.26524520|  PASSED  
       diehard_craps|   0|    200000|     100|0.45077559|  PASSED  
       diehard_craps|   0|    200000|     100|0.20780781|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00254067|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00377051|   WEAK   
         sts_monobit|   1|    100000|     100|0.04251211|  PASSED  
            sts_runs|   2|    100000|     100|0.18853360|  PASSED  
          sts_serial|   1|    100000|     100|0.09141665|  PASSED  
          sts_serial|   2|    100000|     100|0.87689438|  PASSED  
          sts_serial|   3|    100000|     100|0.94003788|  PASSED  
          sts_serial|   3|    100000|     100|0.87904422|  PASSED  
          sts_serial|   4|    100000|     100|0.12176181|  PASSED  
          sts_serial|   4|    100000|     100|0.16359057|  PASSED  
          sts_serial|   5|    100000|     100|0.12777541|  PASSED  
          sts_serial|   5|    100000|     100|0.83928629|  PASSED  
          sts_serial|   6|    100000|     100|0.37165839|  PASSED  
          sts_serial|   6|    100000|     100|0.80489557|  PASSED  
          sts_serial|   7|    100000|     100|0.10839572|  PASSED  
